Company_ID,Domain,Founding_Year,Country,City,Funding_Stage,Total_Funding_USD_Millions,Valuation_USD_Millions,Revenue_ARR_Millions,Monthly_Burn_Rate_Millions,Runway_Months_2024,Peak_Headcount_2023,Layoffs_2024_2025,Current_Headcount_2026,Investor_Tier,AI_Adoption_Level,Acquisition_Status
B730AD52,HealthTech,2014,Canada,Montreal,Seed,1.64,17.81,1.46,0.33,3.8,23,0,23,Tier 3 (Angel/Seed),High,Independent
65A5F690,Web3/Crypto,2014,China,Beijing,Pre-IPO,103.87,949.16,32.77,2.42,41.2,242,146,96,Tier 3 (Angel/Seed),None,Closed
F106C853,Cybersecurity,2020,USA,San Francisco,Series A,10.08,43.37,2.16,1.01,9.1,59,0,59,Tier 2 (Mid-size VC),High,Independent
2BD798AF,FinTech,2023,India,Delhi NCR,Series B,32.28,257.62,11.66,0.78,36.7,76,0,76,Tier 3 (Angel/Seed),Medium,Independent
C5CB4451,Generative AI,2020,USA,New York,Series C+,13.41,76.73,2.57,1.12,11,59,28,31,Tier 2 (Mid-size VC),Medium,Closed
22994DE8,Generative AI,2014,China,Shanghai,Series A,287.28,2399.01,190.65,5,56.3,500,0,500,Tier 3 (Angel/Seed),Low,Independent
F998B9AE,Generative AI,2017,USA,New York,Series A,6.55,72.71,6.22,0.61,9.2,32,0,32,Corporate VC (e.g. Google Ventures),Medium,Independent
DFEF57C1,EdTech,2017,UK,Oxford,Seed,2.16,26.22,1.57,0.23,6.5,18,0,18,Tier 3 (Angel/Seed),Medium,Acquired
569C2230,FinTech,2018,USA,San Francisco,Series C+,33.93,246.46,17.12,0.97,31.7,95,0,95,Tier 2 (Mid-size VC),Medium,Independent
859D4768,ClimateTech,2013,USA,Miami,Series B,23.8,209.4,7.83,1.94,11.7,127,0,127,Tier 3 (Angel/Seed),Low,Independent
1D7ABD11,Generative AI,2022,Singapore,Singapore,Seed,4.44,38.72,3.14,0.55,6.8,50,0,50,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
B976C5FE,Web3/Crypto,2020,USA,Seattle,Series A,29.7,106.15,6.46,1.45,19.2,133,60,73,Corporate VC (e.g. Google Ventures),None,Acquired
EC0C5B60,EdTech,2020,UK,Cambridge,Seed,0.39,16.47,1.28,0.73,0.5,49,12,37,Tier 2 (Mid-size VC),Medium,Independent
CF9DDC66,Robotics,2014,UK,London,Seed,2.79,35.66,1.54,0.75,3.3,45,0,45,Tier 3 (Angel/Seed),Low,Independent
1D64EC27,Generative AI,2014,USA,San Francisco,Seed,0.79,26.44,3.9,0.57,1.2,34,0,34,Tier 2 (Mid-size VC),Medium,Acquired
D5E2214A,Generative AI,2020,India,Bengaluru,Series A,19.74,236.42,12.55,0.99,18.1,95,0,95,Tier 3 (Angel/Seed),Low,Independent
AFAF9053,SpaceTech,2022,USA,New York,Series A,5.02,32.86,1.54,0.4,10,23,0,23,Tier 3 (Angel/Seed),Medium,IPO
DCE11878,FinTech,2020,Germany,Berlin,Series B,32.33,129.42,6.85,2.55,12.2,151,0,151,Tier 2 (Mid-size VC),High,Independent
65A1258D,HealthTech,2022,UK,Oxford,Seed,1.92,32.94,1.75,0.71,2.4,52,0,52,Tier 3 (Angel/Seed),Low,Independent
B2864A7D,Robotics,2021,USA,Seattle,Series C+,74.17,661.86,69.86,2.85,25.1,263,0,263,Tier 2 (Mid-size VC),High,Independent
31E237D5,FinTech,2014,USA,San Francisco,Series A,4.91,50.38,9.64,0.52,7.9,42,0,42,Tier 3 (Angel/Seed),Medium,Acquired
D5F5976A,Generative AI,2017,India,Mumbai,Seed,2.96,32.14,5.34,0.26,8.2,16,8,8,Tier 2 (Mid-size VC),High,Independent
AC92B07A,Robotics,2020,China,Hangzhou,Series A,5.47,51.74,7.52,0.41,10.7,37,0,37,Tier 3 (Angel/Seed),High,Independent
0D0B58AC,HealthTech,2019,UK,London,Pre-IPO,57.15,400.35,36.49,3.01,18.4,279,0,279,Corporate VC (e.g. Google Ventures),High,Independent
C80FA4EA,HealthTech,2018,USA,Boston,Series A,114.78,392.42,18.74,4.05,27.7,292,0,292,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent
EE52EAA7,Cybersecurity,2019,Germany,Munich,Series C+,25.76,225.87,16.64,1.34,17.9,93,0,93,Tier 2 (Mid-size VC),High,Independent
1936EDA8,Generative AI,2019,USA,San Francisco,Seed,2.65,26.35,4.95,0.2,8.8,16,0,16,Tier 2 (Mid-size VC),High,Independent
96C4CCA4,FinTech,2022,UK,London,Series C+,62.99,353.43,32.35,4.94,12.5,265,114,151,Corporate VC (e.g. Google Ventures),Medium,Independent
A8A983FE,FinTech,2015,USA,Miami,Series A,4.26,56.56,4,0.21,13.7,19,6,13,Tier 2 (Mid-size VC),Low,Independent
439B6205,Generative AI,2018,USA,Boston,Pre-IPO,459.27,4002.12,512.91,11.62,39.2,710,0,710,Tier 2 (Mid-size VC),Low,Independent
9017993D,FinTech,2020,UK,Cambridge,Series C+,11.08,106.4,4.29,0.22,34.6,15,0,15,Tier 3 (Angel/Seed),Medium,Independent
9F956B96,Generative AI,2020,USA,Austin,Series B,53.25,356.32,19.55,3.11,16.6,220,18,202,Tier 3 (Angel/Seed),Low,Independent
E83AC299,Generative AI,2020,Israel,Tel Aviv,Series B,25.85,196.33,13.91,3.5,7.2,192,101,91,Corporate VC (e.g. Google Ventures),Medium,Acquired (Fire Sale)
B01BC255,Web3/Crypto,2023,UK,London,Seed,2.52,41.59,3.53,0.66,3.3,55,44,11,Tier 3 (Angel/Seed),Low,Acquired (Fire Sale)
A494656B,Web3/Crypto,2021,Israel,Jerusalem,Series B,0,43.6,1.83,0.21,0,11,0,11,Bootstrapped,High,Independent
30AE450D,Cybersecurity,2020,USA,San Francisco,Series A,55.35,321.29,12.16,2.57,20.7,231,0,231,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
AA991B19,SpaceTech,2017,USA,San Francisco,Seed,4.24,39.44,2.33,0.49,7.2,33,0,33,"Tier 1 (e.g. Sequoia, a16z)",High,Closed
BD3FDF5D,Generative AI,2019,China,Hangzhou,Series A,2.46,25.46,0.86,0.31,6,27,0,27,Corporate VC (e.g. Google Ventures),Medium,Independent
E589D5BA,ClimateTech,2020,USA,San Francisco,Pre-IPO,0,11.44,0.67,0.72,0,41,0,41,Bootstrapped,High,Independent
3F8A5785,HealthTech,2021,USA,Austin,Seed,1.09,21.8,1.41,0.44,2,42,0,42,Tier 3 (Angel/Seed),High,Acquired
7153735A,Generative AI,2023,India,Delhi NCR,Series A,8.63,41.98,1.47,0.51,14.1,36,11,25,Tier 3 (Angel/Seed),None,Closed
46A01FEE,HealthTech,2020,India,Delhi NCR,Seed,1.8,21.92,1.01,0.34,4.1,26,0,26,Tier 2 (Mid-size VC),High,Independent
BD14378D,Generative AI,2020,USA,San Francisco,Pre-IPO,432.34,3140.69,178.74,17.75,24.2,1530,0,1530,Tier 3 (Angel/Seed),Low,Acquired
B6A02216,Autonomous Vehicles,2012,India,Hyderabad,Post-IPO,539.67,6283.44,266.16,33.04,16.3,2857,689,2168,Tier 3 (Angel/Seed),Low,Independent
5954084C,Robotics,2014,China,Beijing,Series A,4.06,40.72,6.03,0.4,8.1,39,19,20,Tier 2 (Mid-size VC),High,Independent
BE74061F,ClimateTech,2016,China,Hangzhou,Series A,3.76,31.21,2.31,0.55,5.8,29,0,29,Tier 2 (Mid-size VC),High,Independent
E433B5F8,SpaceTech,2014,USA,San Francisco,Series C+,73.63,514.55,94.12,4.11,17.5,357,97,260,Tier 2 (Mid-size VC),Low,Independent
9B5154C7,FinTech,2019,USA,Seattle,Seed,1.42,21.25,2.67,0.42,2.7,24,0,24,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent
56738C23,FinTech,2018,India,Delhi NCR,Series A,20.92,111.57,4.03,2.59,7.8,162,68,94,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
1DAC6C17,Generative AI,2020,India,Delhi NCR,Seed,1.93,28.1,1.28,0.61,2.7,40,28,12,Tier 2 (Mid-size VC),Medium,Closed
B81533B6,Web3/Crypto,2020,USA,Seattle,Pre-IPO,116.2,895.08,71.9,2.67,41.9,182,68,114,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent
5C40C7E2,Cybersecurity,2020,India,Mumbai,Seed,1.8,26.41,3.73,0.62,2.5,46,18,28,Tier 3 (Angel/Seed),None,Independent
D886E70C,Web3/Crypto,2019,USA,Miami,Series A,26.13,178.5,8.16,1.2,20.1,94,53,41,"Tier 1 (e.g. Sequoia, a16z)",Medium,Closed
09F40238,Autonomous Vehicles,2018,Canada,Toronto,Series A,28.13,282.45,29.63,1.7,15.6,123,0,123,Corporate VC (e.g. Google Ventures),High,Independent
4CC78B5F,FinTech,2023,UK,London,Series C+,354.84,3608.07,134.59,13.6,25.9,841,0,841,Tier 3 (Angel/Seed),Low,Independent
6783B906,Web3/Crypto,2014,India,Mumbai,Post-IPO,1540.3,5151.41,345.01,56.31,27.3,4421,2514,1907,Tier 3 (Angel/Seed),Medium,Closed
2069B10C,Generative AI,2023,China,Shenzhen,Seed,6.25,77.29,7.18,0.32,14.9,24,0,24,Tier 3 (Angel/Seed),High,Closed
C245BA5C,Generative AI,2018,USA,San Francisco,Series B,53.95,186.63,16.09,7.71,6.9,401,172,229,Tier 3 (Angel/Seed),Medium,Independent
83C88D10,Generative AI,2020,USA,New York,Series A,9.94,39.88,2.5,0.6,14.2,54,11,43,Tier 2 (Mid-size VC),None,Independent
0011653A,SpaceTech,2015,USA,San Francisco,Seed,36.12,382.15,16.02,3.58,9.8,212,101,111,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent
3E6986C9,HealthTech,2014,USA,Boston,Series A,0,8.81,1.01,0.52,0,42,26,16,Bootstrapped,Low,Closed
72871B9E,Robotics,2019,USA,Austin,Post-IPO,972.96,6916.41,260.92,27.95,34.7,2529,502,2027,Tier 2 (Mid-size VC),High,Independent
068653A0,EdTech,2021,India,Hyderabad,Series A,11.69,80.77,6.86,0.71,14.4,52,0,52,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
15646930,HealthTech,2018,USA,Miami,Seed,2.2,35.44,2.62,0.18,7.9,10,5,5,Tier 2 (Mid-size VC),Medium,Closed
AFCBA60C,Robotics,2020,Israel,Jerusalem,Series C+,56.82,392.8,54.29,2.94,18.7,184,0,184,Corporate VC (e.g. Google Ventures),High,Closed
07A4B541,FinTech,2018,USA,New York,Series C+,28.5,238.38,8.72,1.79,15.1,90,21,69,Tier 2 (Mid-size VC),Medium,Independent
C9322C05,Generative AI,2019,Singapore,Singapore,Seed,5.66,70.98,3.64,0.4,11.3,35,0,35,Tier 3 (Angel/Seed),High,Independent
957638A8,Cybersecurity,2022,Japan,Kyoto,Seed,7.41,58.73,9.44,0.38,15.4,27,0,27,Tier 3 (Angel/Seed),High,Independent
09A10FFF,Generative AI,2022,USA,New York,Series B,0,36.44,3.05,0.87,0,44,18,26,Bootstrapped,High,Independent
38D03B6B,Web3/Crypto,2020,Japan,Kyoto,Seed,3.09,47.46,5.2,0.56,4.7,37,27,10,"Tier 1 (e.g. Sequoia, a16z)",High,Closed
F655570D,Cybersecurity,2017,Canada,Montreal,Series A,1.4,28.35,1.49,0.5,2.3,32,0,32,Tier 3 (Angel/Seed),Medium,Independent
551EF6BD,Generative AI,2016,USA,Miami,Seed,0,16.52,2.52,0.15,0,11,0,11,Bootstrapped,Medium,Independent
1850E12C,Generative AI,2023,France,Paris,Seed,5.89,74.93,4.09,0.47,10.3,27,0,27,Tier 2 (Mid-size VC),High,Acquired
0E19EA22,Cybersecurity,2017,USA,Seattle,Seed,1.92,24.24,0.84,0.37,4.1,33,0,33,Tier 2 (Mid-size VC),High,Independent
F4885E97,ClimateTech,2021,USA,Miami,Series B,29.42,131.25,6.71,2.78,10.2,144,85,59,"Tier 1 (e.g. Sequoia, a16z)",Medium,Closed
A6C7BDC4,Cybersecurity,2019,China,Shanghai,Seed,0.89,18.27,1.9,0.8,1,45,0,45,Tier 3 (Angel/Seed),Low,Acquired
F4A88378,Cybersecurity,2024,USA,Seattle,Series C+,56.76,337.19,14.19,1.21,43.3,71,0,71,Tier 2 (Mid-size VC),Medium,Independent
D4AE20B8,Generative AI,2019,USA,Miami,Post-IPO,1385.92,14808.34,1553.22,64.43,21.5,3294,0,3294,Tier 3 (Angel/Seed),High,Independent
4FA01BF2,HealthTech,2019,Singapore,Singapore,Seed,1.45,24.74,3.5,0.9,1.4,49,0,49,Tier 3 (Angel/Seed),Medium,Independent
54993609,Generative AI,2020,Japan,Tokyo,Series A,12.52,55.48,2.53,1.21,9.6,72,0,72,Tier 3 (Angel/Seed),High,Independent
03282ECC,EdTech,2023,Germany,Munich,Seed,0.34,9.12,0.32,0.32,0.8,16,0,16,Tier 3 (Angel/Seed),Low,Independent
CC0988E7,ClimateTech,2024,China,Hangzhou,Series A,0,1.73,0.09,0.6,0,32,15,17,Bootstrapped,High,Closed
093BB78D,SpaceTech,2021,Israel,Jerusalem,Seed,3.39,30.1,4.78,0.4,6.8,27,0,27,Tier 3 (Angel/Seed),High,Independent
D829A13B,Generative AI,2021,USA,Miami,Series A,11.75,148.17,5.64,0.69,14.9,43,0,43,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
AF7C535D,SpaceTech,2020,France,Paris,Seed,5.02,23.1,4.55,0.33,11.7,18,0,18,Tier 2 (Mid-size VC),Medium,Closed
2953C973,SpaceTech,2021,USA,Miami,Seed,5.18,27.92,5.32,0.39,10.6,33,11,22,Tier 3 (Angel/Seed),Medium,Independent
A2267264,Cybersecurity,2022,Canada,Vancouver,Series B,12.39,79.9,15.85,0.67,16.1,44,16,28,Tier 3 (Angel/Seed),Medium,Independent
20C6131E,ClimateTech,2019,UK,London,Seed,0.53,16.59,0.7,0.17,2,14,6,8,Tier 3 (Angel/Seed),None,Closed
7922EED3,Autonomous Vehicles,2020,Singapore,Singapore,Seed,2.81,39.58,2.59,0.52,4.5,40,16,24,Corporate VC (e.g. Google Ventures),High,Independent
D4968404,HealthTech,2020,Canada,Toronto,Seed,0.99,12.7,0.45,0.56,1.5,39,0,39,Tier 3 (Angel/Seed),High,Closed
90B9E6F4,Generative AI,2020,Israel,Jerusalem,Seed,1.11,21.91,1.15,0.44,2.1,33,0,33,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent
222DCB3F,ClimateTech,2022,UK,Cambridge,Series B,0,46.92,2.5,0.4,0,23,0,23,Bootstrapped,High,Independent
7F757D38,Cybersecurity,2019,Canada,Vancouver,Seed,1.36,29.07,1.2,0.18,4.9,12,0,12,Tier 3 (Angel/Seed),None,Closed
79B79B1D,FinTech,2017,India,Bengaluru,Series A,13.31,135.17,9.11,0.42,25.6,41,0,41,"Tier 1 (e.g. Sequoia, a16z)",Low,Closed
AC552CC2,Cybersecurity,2019,USA,New York,Pre-IPO,68.72,514.52,70.76,2.38,27.7,158,0,158,Tier 3 (Angel/Seed),Medium,Closed
AF86A457,HealthTech,2017,UK,Oxford,Series A,7.66,61.49,2.49,1.13,6.2,59,27,32,Tier 3 (Angel/Seed),Low,Independent
DB5CCB63,FinTech,2019,USA,Miami,Series A,10.69,78.83,2.99,0.74,12.7,45,0,45,Tier 3 (Angel/Seed),Low,Acquired
7DDB907F,HealthTech,2022,Canada,Vancouver,Series A,0,46.06,1.55,0.81,0,46,0,46,Bootstrapped,Medium,Independent
A54E30D7,Generative AI,2020,USA,New York,Series A,28.24,303.4,10.72,1.7,15.7,101,0,101,Tier 2 (Mid-size VC),High,Independent
14F6A870,Generative AI,2022,Japan,Kyoto,Post-IPO,3604.28,32720.77,3557.81,139.57,25.8,12678,0,12678,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent
1AE5232A,Generative AI,2016,USA,Boston,Seed,2.78,31.99,1.1,0.29,7.1,16,8,8,Corporate VC (e.g. Google Ventures),High,Independent
B30DC77B,ClimateTech,2022,USA,Miami,Pre-IPO,41.7,214.09,11.3,3.35,12.1,174,55,119,Tier 2 (Mid-size VC),Low,Closed
4F0F29C2,SpaceTech,2020,France,Lyon,Seed,6.26,80.07,6.02,0.2,20.9,16,0,16,Tier 3 (Angel/Seed),High,Closed
BBFDBDA6,FinTech,2013,USA,New York,Seed,3.42,43.48,4.27,0.39,7,36,0,36,Tier 2 (Mid-size VC),High,Acquired
8AA87726,Autonomous Vehicles,2020,China,Shenzhen,Series B,7.46,99.92,3.51,0.85,7.9,49,27,22,Corporate VC (e.g. Google Ventures),High,Acquired (Fire Sale)
BAA1AFA1,Robotics,2023,India,Mumbai,Seed,1.06,20.5,3.76,0.08,5.9,7,2,5,Corporate VC (e.g. Google Ventures),None,Independent
35204593,HealthTech,2014,USA,New York,Series A,3.33,47.18,3.81,0.39,6.8,26,0,26,Tier 2 (Mid-size VC),Low,Independent
4716EE73,Cybersecurity,2020,China,Shenzhen,Series B,11.1,107.8,7.28,1.02,9.9,70,0,70,Tier 2 (Mid-size VC),Medium,Independent
999380CB,Robotics,2022,India,Hyderabad,Series A,5.87,62.12,2.5,0.88,6,50,0,50,Corporate VC (e.g. Google Ventures),High,Independent
692490D0,Generative AI,2012,Singapore,Singapore,Seed,7.68,33.58,2.37,0.28,20.2,24,0,24,Tier 3 (Angel/Seed),High,Independent
D6B9B71B,Robotics,2020,USA,Austin,Seed,3.98,35.66,1.35,0.27,10.8,26,0,26,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent
01D20AC5,Generative AI,2019,USA,New York,Seed,4.09,51.93,4.37,0.2,13.6,15,0,15,Tier 2 (Mid-size VC),Medium,Independent
D7F8365E,Web3/Crypto,2018,China,Shanghai,Pre-IPO,1069.52,9108.4,603.31,23.59,45.1,1657,0,1657,Tier 3 (Angel/Seed),High,Independent
7528DD38,Cybersecurity,2020,USA,Seattle,Series B,6.46,48.91,6.6,0.63,8.8,57,23,34,Corporate VC (e.g. Google Ventures),Medium,Closed
08DC94BD,ClimateTech,2014,USA,Boston,Post-IPO,193.32,2080.54,224.57,12.92,14.8,724,249,475,Tier 2 (Mid-size VC),High,Independent
